Source text	Invention	Link
3.3 – 2.6 Mya: Stone tools - found in modern-day Kenya only found on the archetype road. Ancient stone tools from Ethiopia (Oldowan) were hand-crafted by Australopithecus or related people.	Stone tools	/wiki/Stone_tool
"2.3 Mya: Earliest likely control of fire and cooking, by Homo habilis"	fire and cooking	/wiki/Control_of_fire_by_early_humans
1.76 Mya: Advanced (Acheulean) stone tools in Kenya by Homo erectus	Advanced (Acheulean) stone tools	/wiki/Acheulean
1.75 – 150 kya: Varying estimates for the origin of language	language	/wiki/Origin_of_language
1.5 Mya: Bone tools in Africa by Homo erectus	Bone tools	/wiki/Bone_tool
900 – 40 kya: Boats	Boats	/wiki/Boat
500 kya: Hafting in South Africa by Homo heidelbergensis	Hafting	/wiki/Hafting
"500 – 450 kya: Woodworking construction in Zambia by Homo heidelbergensis (The oldest known surviving buildings are made from stone and date back no more than 9,500 years.)"	Woodworking construction	/wiki/Woodworking
"420 – 200 kya: Food storage in the form of uncracked bones saved for their marrow in Qesem cave, Israel."	Food storage	/wiki/Food_storage
400 kya: Pigments in Zambia by Homo heidelbergensis	Pigments	/wiki/Pigment
400 – 300 kya: Spears in Germany likely by Homo heidelbergensis	Spears	/wiki/Spear
"320 kya: The trade and long-distance transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya"	Trade of resources	/wiki/Trade
"200 kya: Simple glue (adhesive) made of one kind of material, birch tar, in Central Italy by Neanderthals."	Glue	/wiki/Adhesive
200 kya: Beds in South Africa.	Beds	/wiki/Bed
"170 – 90 kya: Clothing, among anatomically modern humans in Africa. Genetic evidence from body lice suggests a range of dates centering over 100 thousand years ago. The first bone scrapers appropriate for scraping hides to make supple leather were found in Morocco dating to 90–120,000 years ago."	Clothing	/wiki/History_of_clothing_and_textiles
135 – 100 kya: Beads in Israel and Algeria	Beads	/wiki/Bead
100 kya: Compound paints made in South Africa	Compound paints	/wiki/Paint
100 kya: Funerals (in the form of burial) in Israel	Funerals	/wiki/Burial
90 kya: Harpoons in the Democratic Republic of the Congo.	Harpoons	/wiki/Harpoon
70 – 60 kya: in Sibudu Cave in South Africa by Homo sapiens: Arrows and other evidence of bow-and-arrow technology	Bow-and-arrow technology	/wiki/Arrow
70 – 60 kya: in Sibudu Cave in South Africa by Homo sapiens: Sewing needle	Sewing needle	/wiki/Sewing_needle
61 – 62 kya: Cave painting in Spain by Neanderthal	Cave painting	/wiki/Cave_painting
55.8 – 51.2 kya: Representational and Narrative art in Indonesia by Homo sapiens	Representational and Narrative art	/wiki/Representation_(arts
"49 – 30 kya: Ground stone tools – fragments of an axe in Australia date to 49–45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic."	Ground stone tools	/wiki/Ground_stone
"47 kya: The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre."	Mines	/wiki/Mining
"45 – 9 kya: Earliest evidence of shoes, suggested by changes in foot bone morphology in China by Tianyuan man. The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave, United States. The oldest known leather shoe dated to 5.5 kya was found in excellent condition in the Areni-1 cave located in the Vayots Dzor province of Armenia. "	Shoes	/wiki/Shoe
44 – 42 kya: Tally sticks (see Lebombo bone) in Eswatini	Tally sticks	/wiki/Tally_stick
42 kya: Flute in Germany	Flute	/wiki/Flute
37 kya: Mortar and pestle in Southwest Asia	Mortar and pestle	/wiki/Mortar_and_pestle
"32 - 28 kya: Rope and Cords for ""hafting stone tools, weaving baskets, or sewing garments,"" according to Elis Kvavadze et al."	Rope and cords	/wiki/Rope
"31 kya: Amputation and surgery. Medicine in a meaningful sense likely predates the human-chimpanzee split, as, for example, herbal medicine has been observed in other primates."	Amputation and surgery	/wiki/Amputation
"28 kya: Ceramics (direct evidence) and weaving (impressions left in the ceramics) in Moravia (Czech Republic) and Georgia. (The oldest piece of woven cloth found so far was in Çatalhöyük, Turkey and dated to about 9,000 years ago.)"	Ceramics	/wiki/Ceramics
24 kya: Oldest known ceramic sculpture	Ceramic sculpture	/wiki/Venus_of_Doln%C3%AD_V%C4%9Bstonice
23 kya: Domestication of the dog in Siberia.	Domestication of the dog	/wiki/Domestication_of_the_dog
22 – 17 kya: Bullroarer	Bullroarer	/wiki/Bullroarer
"22 kya: Fish hook in Okinawa Island, modern day Japan."	Fish hook	/wiki/Fish_hook
"21 – 3.7 kya: Star chart in France, and later Spain, Kashmir, Germany, and Egypt."	Star chart	/wiki/Star_chart
"17.5 kya: Spear-thrower (atlatl), found in France."	Spear-thrower	/wiki/Spear-thrower
16 kya: Pottery in China	Pottery	/wiki/Pottery
14.5 kya: Bread in Jordan	Bread	/wiki/Bread
"12 kya: Spindle whorl, also the oldest wheel-like tool, at Nahal Ein Gev II (Israel)"	Spindle whorl	
"10,000 BC – 9000 BC: Agriculture in the Fertile Crescent"	Agriculture	
"10,000 BC – 9000 BC: Domestication of sheep in Southwest Asia (followed shortly by pigs, goats and cattle)"	Domestication of the sheep	
"9500 BC – 9000 BC: Oldest known surviving building – Göbekli Tepe, in Turkey"	Oldest known surviving building	/wiki/List_of_oldest_extant_buildings
9000 BC – 6000 BC: Domestication of rice in China	Domestication of rice	
"9000 BC: Mudbricks (unfired bricks), and clay mortar in Jericho."	Mudbricks	/wiki/Mudbrick
8400 BC: Oldest known water well in Cyprus.	Water well	/wiki/Well
"8000 BC – 7500 BC: Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey."	Proto-city	
"7000 BC: Alcohol fermentation – specifically mead, in China"	Alcohol fermentation	/wiki/Ethanol_fermentation
"7000 BC: Sled dog and Dog sled, in Siberia."	Sled dog	
"7000 BC – 3300 BC: Tanned leather in Mehrgarh, Pakistan."	Tanned leather	/wiki/Tanning_(leather)
"6500 BC: Evidence of lead smelting in Çatalhöyük, Turkey"	Lead smelting	
6000 BC: Kiln in Mesopotamia (Iraq)	Kiln	
"6000 - 5000 BC: Irrigation in Khuzistan, Iran"	Irrigation	
"6000 BC – 3200 BC: Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan."	Proto-writing	
"5900 – 5600 BC: Oldest evidence of salt production found in Southeastern Europe, in the countries of Moldova and Romania."	Salt production	
"5500 – 5200 BC: Oldest evidence of cheese found, in Poland and on the Dalmatian coast of Croatia."	Cheese	
"5500 BC: Sailing - pottery depictions of sail boats, in Mesopotamia, and later ancient Egypt"	Sailing	
5000 BC: Copper smelting in Serbia.	Copper smelting	/wiki/Smelting#Copper_and_bronze
5000 BC: Seawall in Tel Hreiz.	Seawall	
5000 - 4000 BC: Lacquer in China	Lacquer	
"5000 BC: Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet."	Cotton thread	/wiki/Cotton
5000 BC – 4500 BC: Rowing oars in China	Oar	
4500 BC – 3500 BC: Lost-wax casting in Israel or the Indus Valley	Lost-wax casting	
4400 BC: Fired bricks in China.	Fired brick	
"4000 BC: Paved roads, in and around the Mesopotamian city of Ur, Iraq."	Paved roads	/wiki/Roads
"4000 BC: Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia."	Plumbing	
"4000 BC: Oldest evidence of locks, the earliest example discovered in the ruins of Nineveh, the capital of ancient Assyria."	Locks	/wiki/Lock_and_key
"4000 BC – 3400 BC: Oldest evidence of wheels, found in the countries of Ukraine, Poland, and Germany."	Wheel	
3630 BC: Silk garments (sericulture) in China	Silk garments	/wiki/Sericulture
3500 BC: Probable first domestication of the horse in the Eurasian Steppes.	Domestication of the horse	
3500 BC: Wine as general anaesthesia in Sumer.	/wiki/General_anaesthesia	
"3500 BC: Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier."	Seal (emblem)	
"3500 BC: Ploughing, on a site in Bubeneč, Czech Republic. Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India)."	Ploughing	
3400 BC – 3100 BC: Tattoos in southern Europe	Tattoo	
3050 BC - 3000 BC: Writing – in Sumer and Egypt	Writing	
"3300 BC: The first documented swords. They have been found in Arslantepe, Turkey, are made from arsenical bronze, and are about 60&#160;cm (24&#160;in) long. Some of them are inlaid with silver."	Sword	
"3300 BC: City in Uruk, Sumer, Mesopotamia (modern-day Iraq)."	City	
"3250 BC: One of the earliest documented hats was worn by a man (nicknamed Ötzi) whose body and hat  found frozen in a mountain between Austria and Italy. He was found wearing a bearskin cap with a chin strap, made of several hides stitched together, resembling a Russian fur hat without the flaps."	Hats	/wiki/Hat
"3200 BC: Dry Latrines in the city of Uruk, Iraq, with later dry squat Toilets, that added raised fired brick foot platforms, and pedestal toilets, all over clay pipe constructed drains."	Latrine	
"3000 BC: Devices functionally equivalent to dice, in the form of flat two-sided throwsticks, are seen in the Egyptian game of Senet. Perhaps the oldest known dice, resembling modern ones, were excavated as part of a backgammon-like game set at the Burnt City, an archeological site in south-eastern Iran, estimated to be from between 2800 and 2500 BC. Later, terracotta dice were used at the Indus Valley site of Mohenjo-daro (modern-day Pakistan)."	Dice	
3000 BC: Tin extraction in Central Asia	Tin extraction	/wiki/Tin
3000 BC – 2560 BC: Papyrus in Egypt	Papyrus	
"3000 BC: Reservoir in Girnar, Indus Valley (modern-day India)."	Reservoir	
3000 BC: Receipt in Ancient Mesopotamia (Iraq)	Receipt	
"3000 BC – 2800 BC: Prosthesis first documented in the Ancient Near East, in ancient Egypt and Iran, specifically for an eye prosthetics, the eye found in Iran was likely made of bitumen paste that was covered with a thin layer of gold."	Prosthesis	
3000 BC – 2500 BC: Rhinoplasty in Egypt.	Rhinoplasty	
"2650 BC: The Ruler, or Measuring rod, in the subdivided Nippur, copper rod, of the Sumerian Civilisation (modern-day Iraq). "	Ruler	
"2600 BC: Planned city in Indus Valley (modern-day: India, Pakistan)."	Planned city	
"2600 BC: Public sewage and sanitation systems in Indus Valley sites such as Mohenjo-daro and Rakhigarhi (modern-day: India, Pakistan)."	Public sewage and sanitation systems	/wiki/Sanitation_of_the_Indus_Valley_Civilisation
"2600 BC: Public bath in Mohenjo-daro, Indus Valley (modern-day Pakistan)."	Public bath	"/wiki/Great_Bath,_Mohenjo-daro"
2600 BC: Levee in Indus Valley.	Levee	
"2600 BC: Balance weights and scales, from the Fourth Dynasty of Egypt; examples of Deben (unit) balance weights, from reign of Sneferu (c. 2600 BC) have been attributed."	Balance weights	
"2556 BC: Docks structure in Wadi al-Jarf, Egypt, which was developed by the reign of the Pharaoh Khufu."	Dock (maritime)	
2500 BC: Puppetry in the Indus Valley.	Puppetry	
2400 BC: Fork in Bronze Age Qijia culture in China	Fork	
"2400 BC: Copper pipes, the Pyramid of Sahure, an adjoining temple complex at Abusir, was discovered to have a network of copper drainage pipes."	Copper pipes	/wiki/History_of_water_supply_and_sanitation#Ancient_Egypt
2400 BC: Touchstone in the Indus Valley site of Banawali (modern-day India).	Touchstone	/wiki/Touchstone_(assaying_tool)
2300 BC: Dictionary in Mesopotamia.	Dictionary	
2200 BC – 2000 BC: Iron smelting in Kaman-Kalehöyük.	Iron smelting	
"2200 BC: Protractor, Phase IV, Lothal, Indus Valley (modern-day India), a Xancus shell cylinder with sawn grooves, at right angles, in its top and bottom surfaces, has been proposed as an angle marking tool."	Protractor	
"2000 BC: Water clock by at least the old Babylonian period (c. 2000 – c. 1600 BC), but possibly earlier from Mohenjo-Daro in the Indus Valley."	Water clock	
2000 BC: Chariot in Russia and Kazakhstan	Chariot	
"2000 BC: Fountain in Lagash, Sumer."	Fountain	
"2000 BC: Scissors, in Mesopotamia."	Scissors	
1850 BC: Proto-alphabet (Proto-Sinaitic script) in Egypt.	Proto-alphabet	/wiki/Proto-Sinaitic_script
1600 BC: Surgical treatise appeared in Egypt.	Surgical treatise	/wiki/Edwin_Smith_Papyrus
1500 BC: Sundial in Ancient Egypt or Babylonia (modern-day Iraq).	Sundial	
1500 BC: Glass manufacture in either Mesopotamia or Ancient Egypt.	Glass	
1500 BC: Seed drill in Babylonia.	Seed drill	
1500 BC: Prosthetic limb in India mentioned in vedas (warrior queen vishpala).	Prosthetic limb	/wiki/Prosthetic
"1400 BC: Rubber, Mesoamerican ballgame."	Rubber	/wiki/Mesoamerican_rubber_balls
"1400 BC – 1200 BC: Concrete in Tiryns (Mycenaean Greece), though it was not yet waterproof."	Concrete	
1300 BC: Lathe in Ancient Egypt.	Lathe	
1200 BC: Distillation is described on Akkadian tablets documenting perfumery operations.	Distillation	
